,index,movie_id,movie_name,genre,plot
5928,46578,tt0433362,Daybreakers Lultimo vampiro,"action, fantasy, horror",daybreakers lultimo vampiro year plague transformed almost every human vampires faced dwindling blood supply fractured dominant race plots survival meanwhile researcher works covert band vamps way save humankind
5929,46579,tt0433383,Good Night and Good Luck,"biography, drama, history",good night good luck broadcast journalist
5930,46580,tt0433386,The Grudge,"horror, thriller",grudge three interwoven stories terrible curse young woman encounters malevolent supernatural force searching missing sister tokyo mean high school prank goes horribly wrong woman deadly secret moves chicago apartment building
5931,46581,tt0433387,Harsh Times I giorni dellodio,"action, crime, drama",harsh times giorni dellodio tough minded drama two friends south central los angeles violence comes
5932,46583,tt0433398,Journey from the Fall,drama,journey fall thirteen years end vietnam war family tragically affected war forced emigrate america
5933,46584,tt0433400,Just Friends Solo amici,"comedy, romance",friends solo amici visiting hometown christmas man comes face face old high school crush best friends woman whose rejection turned ferocious womanizer
5934,46585,tt0433405,Land of the Blind,"drama, thriller",land blind soldier recounts relationship famous political prisoner attempting overthrow countrys authoritarian government
5935,46586,tt0433412,Material Girls,"comedy, family, romance",material girls two wealthy sisters heiresses familys cosmetics fortune given wake call scandal ensuing investigation strip wealth
5936,46587,tt0433416,Il destino nel nome The Namesake,drama,il destino nel nome namesake american born gogol son indian immigrants wants fit among fellow new yorkers despite familys unwillingness let go traditional ways
5937,46590,tt0433442,Lincubo di Joanna Mills,"horror, mystery, thriller",lincubo di joanna mills joanna mills traveling business woman begins nightmares murder occurred years ago soon drawn old farmhouse murder took place
5938,46608,tt0434008,Election,"crime, drama, thriller",election rival gang leaders locked struggle become new chairman hong kongs triad society
5939,46612,tt0434124,Kinky Boots Decisamente diversi,"comedy, drama, music",kinky boots decisamente diversi drag queen comes rescue man inheriting fathers shoe factory needs diversify product wants keep business afloat
5940,46613,tt0434139,The Last Kiss,"comedy, drama, romance",last kiss michaeld great job still best friends love beautiful girl loves jenna life seems predictable meets college girl seems everybodys relationship problems
5941,46616,tt0434179,Marebito,"drama, fantasy, horror",marebito fear obsessed freelance cameraman shinya tsukamoto investigates urban legend involving mysterious spirits haunt subways tokyo
5942,46618,tt0434292,Princesas,drama,princesas friendship love world prostitution madrid
5943,46622,tt0434409,V per Vendetta,"action, drama, sci-fi",v per vendetta future british tyranny shadowy freedom fighter known alias v plots overthrow help young woman
5944,46623,tt0434424,Undiscovered,"comedy, music, romance",undiscovered group aspiring entertainers try establish careers city los angeles
5945,46624,tt0434541,Macbeth La tragedia dellambizione,"crime, drama, fantasy",macbeth la tragedia dellambizione contemporary retelling shakespeares macbeth set ganglands melbourne
5946,46646,tt0435479,Gabrielle,"drama, romance",gabrielle marriage gabrielle jean begins fray discovery letter belongs gabrielle
5947,46653,tt0435623,Conversations with Other Women,"comedy, drama, romance",conversations women man woman flirt wedding reception sexual tension seems spontaneous break party hotel room flirtation turns night filled passion remorse
5948,46654,tt0435625,The Descent Discesa nelle tenebre,"adventure, horror, thriller",descent discesa nelle tenebre caving expedition goes horribly wrong explorers become trapped ultimately pursued strange breed predators
5949,46658,tt0435651,The Giver Il mondo di Jonas,"drama, romance, sci-fi",giver il mondo di jonas seemingly perfect community without war pain suffering differences choice young boy chosen learn elderly man true pain pleasure real world
5950,46662,tt0435670,Invisible,"crime, drama, fantasy",invisible teenager left invisible living attack
5951,46668,tt0435705,Next,"action, sci-fi, thriller",next las vegas magician see future pursued fbi agents seeking use abilities prevent nuclear terrorist attack
5952,46670,tt0435716,The Perfect Sleep,"action, drama, romance",perfect sleep backdrop noirish dreamscape tortured man returns city swore would never return order save woman always loved yet never
5953,46673,tt0435761,Toy Story La grande fuga,"animation, adventure, comedy",toy story la grande fuga toys mistakenly delivered day care center instead attic right andy leaves college woody convince toys werent abandoned return home
5954,46678,tt0436091,Backstage,"drama, music",backstage adolescent groupie zeroes blondie like idol singer chances cross orbit publicity tour gradually lives intertwine near operatic intensity
5955,46686,tt0436262,Ellie Parker,"comedy, drama",ellie parker hilarious comic portrait young womans struggle integrity happiness hollywood acting career
5956,46688,tt0436331,Friends with Money,"comedy, drama, romance",friends money quits lucrative job olivia finds unsure future relationships successful wealthy friends
5957,46689,tt0436339,G Force Superspie in missione,"animation, action, adventure",g force superspie missione specially trained squad guinea pigs dispatched stop diabolical billionaire taking world
5958,46693,tt0436364,Good Lindifferenza del bene,"drama, romance, war",good lindifferenza del bene john halder german literature professor initially reluctant accept ideas nazi party pulled different emotional directions wife mother mistress jewish friend
5959,46700,tt0436460,Kiss Me Again,"romance, drama",kiss married couple decides test boundaries relationship seductive spanish woman unlikely relationship ensues three forced rethink definition love
5960,46703,tt0436607,The Motel,"comedy, drama",motel thirteen year old ernest chin lives works sleazy hourly rate motel strip desolate suburban bi way misunderstood family blindly careening puberty ernest
5961,46705,tt0436689,The Puffy Chair,"comedy, drama, romance",puffy chair josh sagers drives cross country mission deliver fathers birthday gift giant purple lazyboy
5962,46706,tt0436697,The Queen La regina,"biography, drama, history",queen la regina death
5963,46710,tt0436742,The Salon,"comedy, drama",salon beauty shop owner finds romance struggles save business
5964,46714,tt0436854,Tulpan la ragazza che non cera,"comedy, drama",tulpan la ragazza che non cera steppes kazakhstan asa lives yurt sister samal husband ondas three children ondas herdsman tough strong dry dusty windy
5965,46723,tt0437086,Alita Angelo della battaglia,"action, adventure, sci-fi",alita angelo della battaglia deactivated cyborg revived cannot remember anything past life goes quest find
5966,46726,tt0437179,Il collezionista di occhi,"action, horror, thriller",il collezionista di occhi group delinquents sent clean blackwell hotel little know reclusive psychopath jacob goodnight holed away rotting hotel one teens captured remain group includes cop put bullet goodnights head four years ago band together survive brutal killer
5967,46731,tt0437232,Catch a Fire,"biography, drama, history",catch fire drama terrorism apartheid era south africa revolving around policeman young man carries solo attacks regime
5968,46736,tt0437405,Paper Man,"comedy, drama",paper man washed writer forms unlikely friendship teenager long island
5969,46738,tt0437447,Mille miglia lontano,drama,mille miglia lontano japanese father travels chinas yunnan province place ailing son film folk opera singer
5970,46741,tt0437526,Une vieille ma tresse,"drama, romance",une vieille tresse secrets rumors betrayals surround upcoming marriage young dissolute man virtuous woman french aristocracy
5971,46742,tt0437777,Something New,"comedy, drama, romance",something new kenya mcqueen accountant finds love unexpected place agrees go blind date brian kelly sexy free spirited landscaper
5972,46744,tt0437800,Una parola per un sogno,"drama, family",una parola per un sogno young girl south los angeles tries make national spelling bee
5973,46745,tt0437857,Behind the Mask Vita di un Serial Killer,"comedy, horror, thriller",behind mask vita di un serial killer next great psycho horror slasher given documentary crew exclusive access life plans reign terror sleepy town glen echo
5974,46746,tt0437863,Gli scaldapanchina,"comedy, sport",gli scaldapanchina trio guys try make missed opportunities childhood forming three player baseball team compete standard childrens little league squads
5975,46749,tt0438097,Lera glaciale Il disgelo,"animation, adventure, comedy",lera glaciale il disgelo manny sid diego discover ice age coming end join everybody journey higher ground trip discover manny fact last woolly mammoths
5976,46751,tt0438204,Mad Cowgirl,"drama, horror, romance",mad cowgirl woman dying brain disorder begins surreal journey descends violence
5977,46756,tt0438315,La forza del campione,"drama, romance, sport",la forza del campione chance encounter stranger changes life college gymnast
5978,46760,tt0438427,Side Effects,"comedy, drama, romance",side effects young woman fumbles love ethics navigates career one corporate americas darlings pharmaceutical industry
